20250518T082400 | B0 03 00 08 00 44 DF DA B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082400 | B0 03 01 00 00 58 5E 2D B0 03 00 58 05 78 00 00 00 00 00 00 00 00 00 00 05 33 00 81 05 35 FF 7F 00 62 11 DC 00 F0 00 00 00 01 05 2B 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 70 B7
20250518T082400 | B0 10 01 1D 00 02 00 01 D7 6D B0 10 01 1D 00 02 00 01 D7 6D
20250518T082401 | B0 03 00 08 00 44 DF DA
20250518T082401 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082401 | B0 03 01 00 00 58 5E 2D
20250518T082401 | B0 03 00 58 05 76 00 00 00 00 00 00 00 00 00 00 05 32 00 87 05 34 FF 79 00 62 11 11 00 F0 00 00 00 01 05 2C 00 00 08 A8 00 64 00 64 FF FF 00 01 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 6A F6
20250518T082402 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082402 | C0 03 01 00 00 1E D4 EF
20250518T082402 | F5 03 00 00 00 0B 11 79
20250518T082402 | F0 03 00 08 00 0C D1 2C
20250518T082403 | 7E FF A0 03 00 08 CD D7
20250518T082403 | 7E FF C1 03 00 08 D2 2B
20250518T082403 | 7E FF 41 03 00 08 FB EB
20250518T082403 | B0 03 00 08 00 44 DF DA
20250518T082404 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082404 | B0 03 01 00 00 58 5E 2D
20250518T082404 | B0 03 00 58 05 76 00 00 00 00 00 00 00 00 00 00 05 31 00 88 05 33 FF 78 00 62 10 F0 00 F0 00 00 00 02 05 2D 00 00 08 A8 00 64 00 64 FF FF 00 01 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF F8 FE
20250518T082404 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082405 | C0 03 01 00 00 1E D4 EF
20250518T082405 | F5 03 00 00 00 0B 11 79
20250518T082405 | F0 03 00 08 00 0C D1 2C
20250518T082405 | 7E FF A0 03 00 08 CD D7
20250518T082406 | B0 10 01 1D 00 02 00 00 16 AD B0 10 01 1D 00 02 00 00 16 AD
20250518T082406 | B0 03 00 08 00 44 DF DA
20250518T082406 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082407 | B0 03 01 00 00 58 5E 2D
20250518T082407 | B0 03 00 58 05 77 00 00 00 00 00 00 00 00 00 00 05 31 00 84 05 33 FF 7C 00 62 11 74 00 F0 00 00 00 02 05 2B 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 63 E3
20250518T082407 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082407 | C0 03 01 00 00 1E D4 EF
20250518T082408 | F5 03 00 00 00 0B 11 79
20250518T082408 | F0 03 00 08 00 0C D1 2C
20250518T082408 | 7E FF A0 03 00 08 CD D7
20250518T082408 | 7E FF C1 03 00 08 D2 2B
20250518T082409 | 7E FF 41 03 00 08 FB EB
20250518T082409 | B0 03 00 08 00 44 DF DA
20250518T082409 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082409 | B0 03 01 00 00 58 5E 2D B0 03 00 58 05 76 00 00 00 00 00 00 00 00 00 00 05 31 00 82 05 33 FF 7E 00 62 11 B8 00 F0 00 00 00 02 05 29 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 93 77
20250518T082410 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082410 | C0 03 01 00 00 1E D4 EF
20250518T082410 | F5 03 00 00 00 0B 11 79
20250518T082410 | B0 10 01 1E 00 02 00 01 93 6D B0 10 01 1E 00 02 00 01 93 6D
20250518T082411 | B0 03 00 08 00 44 DF DA
20250518T082411 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082411 | B0 03 01 00 00 58 5E 2D
